Game №1 2023-06-28 13:11:59 Загаданная строка: 0192
Запрос: 9351 Ответ: 2 коровы 0 быка
Запрос: 4561 Ответ: 1 корова 0 быка
Запрос: 4861 Ответ: 1 корова 0 быка
Запрос: 8516 Ответ: 1 корова 0 быка
Запрос: 8132 Ответ: 0 коровы 2 быка
Запрос: 1032 Ответ: 2 коровы 1 бык
Запрос: 1960 Ответ: 3 коровы 0 быка
Запрос: 5967 Ответ: 1 корова 0 быка
Запрос: 7436 Ответ: 0 коровы 0 быка
Запрос: 5980 Ответ: 2 коровы 0 быка
Запрос: 9851 Ответ: 2 коровы 0 быка
Запрос: 0825 Ответ: 1 корова 1 бык
Запрос: 0128 Ответ: 1 корова 2 быка
Запрос: 8529 Ответ: 2 коровы 0 быка
Запрос: 2180 Ответ: 2 коровы 1 бык
Запрос: 5290 Ответ: 2 коровы 1 бык
Запрос: 8051 Ответ: 2 коровы 0 быка
Запрос: 2918 Ответ: 3 коровы 0 быка
Запрос: 8152 Ответ: 0 коровы 2 быка
Запрос: 5190 Ответ: 1 корова 2 быка
Запрос: 2801 Ответ: 3 коровы 0 быка
Запрос: 1958 Ответ: 2 коровы 0 быка
Запрос: 1850 Ответ: 2 коровы 0 быка
Запрос: 8521 Ответ: 2 коровы 0 быка
Запрос: 1852 Ответ: 1 корова 1 бык
Запрос: 8102 Ответ: 1 корова 2 быка
Запрос: 8190 Ответ: 1 корова 2 быка
Запрос: 8592 Ответ: 0 коровы 2 быка
Запрос: 8095 Ответ: 1 корова 1 бык
Запрос: 0189 Ответ: 1 корова 2 быка
Запрос: 9581 Ответ: 2 коровы 0 быка
Запрос: 1902 Ответ: 3 коровы 1 бык
Запрос: 1920 Ответ: 4 коровы 0 быка
Запрос: 2019 Ответ: 4 коровы 0 быка
Запрос: 9102 Ответ: 2 коровы 2 быка
Запрос: 0219 Ответ: 3 коровы 1 бык
Запрос: 1290 Ответ: 3 коровы 1 бык
Запрос: 1029 Ответ: 4 коровы 0 быка
Запрос: 9021 Ответ: 4 коровы 0 быка
Запрос: 9012 Ответ: 3 коровы 1 бык
Запрос: 0219 Ответ: 3 коровы 1 бык
Запрос: 9210 Ответ: 4 коровы 0 быка
Запрос: 1209 Ответ: 4 коровы 0 быка
Запрос: 0291 Ответ: 2 коровы 2 быка
Запрос: 2109 Ответ: 3 коровы 1 бык
Запрос: 1029 Ответ: 4 коровы 0 быка
Запрос: 2190 Ответ: 2 коровы 2 быка
Запрос: 9102 Ответ: 2 коровы 2 быка
Запрос: 1029 Ответ: 4 коровы 0 быка
Запрос: 2901 Ответ: 4 коровы 0 быка
Запрос: 9201 Ответ: 4 коровы 0 быка
Запрос: 2901 Ответ: 4 коровы 0 быка
Запрос: 0129 Ответ: 2 коровы 2 быка
Запрос: 9021 Ответ: 4 коровы 0 быка
Запрос: 2091 Ответ: 3 коровы 1 бык
Запрос: 0219 Ответ: 3 коровы 1 бык
Запрос: 0192 Ответ: 0 коровы 4 быка
Строка была угадана за 57 попыток

